virusIsolate	virusStrain	virusYear	serumIsolate	serumStrain	serumYear	titer	source
A/Arizona/14/78	A/Arizona/14/1978	1978	A/Arizona/14/78	A/Arizona/14/1978	1978	640	Webster1979
A/Brazil/11/78	A/Brazil/11/1978	1978	A/Arizona/14/78	A/Arizona/14/1978	1978	160	Webster1979
A/Lackland/3/78	A/Lackland/3/1978	1978	A/Arizona/14/78	A/Arizona/14/1978	1978	160	Webster1979
A/USSR/90/77	A/USSR/90/1977	1977	A/Arizona/14/78	A/Arizona/14/1978	1978	160	Webster1979
A/Arizona/14/78	A/Arizona/14/1978	1978	A/Arizona/14/78	A/Arizona/14/1978	1978	2560	Nakajima1981
A/Brazil/11/78	A/Brazil/11/1978	1978	A/Arizona/14/78	A/Arizona/14/1978	1978	160	Nakajima1981
A/California/45/78	A/California/45/1978	1978	A/Arizona/14/78	A/Arizona/14/1978	1978	80	Nakajima1981
A/Kumamoto/103/78	A/Kumamoto/103/1978	1979	A/Arizona/14/78	A/Arizona/14/1978	1978	160	Nakajima1981
A/Lackland/3/78	A/Lackland/3/1978	1978	A/Arizona/14/78	A/Arizona/14/1978	1978	320	Nakajima1981
A/Lackland/7/78	A/Lackland/7/1978	1978	A/Arizona/14/78	A/Arizona/14/1978	1978	640	Nakajima1981
A/Texas/23/79	A/Texas/23/1979	1978	A/Arizona/14/78	A/Arizona/14/1978	1978	160	Nakajima1981
A/USSR/50/79	A/USSR/50/1979	1977	A/Arizona/14/78	A/Arizona/14/1978	1978	160	Nakajima1981
A/USSR/90/77	A/USSR/90/1977	1978	A/Arizona/14/78	A/Arizona/14/1978	1978	320	Nakajima1981
A/Bangkok/10/83	A/Bangkok/10/1983	1983	A/Bangkok/10/83	A/Bangkok/10/1983	1983	160	Nakajima1995
A/Kamata/1034/88	A/Kamata/1034/1988	1988	A/Bangkok/10/83	A/Bangkok/10/1983	1983	20	Nakajima1995
A/Kamata/1060/88	A/Kamata/1060/1988	1988	A/Bangkok/10/83	A/Bangkok/10/1983	1983	80	Nakajima1995
A/Kamata/31/87	A/Kamata/31/1987	1987	A/Bangkok/10/83	A/Bangkok/10/1983	1983	<10	Nakajima1995
A/Kamata/40/84	A/Kamata/40/1984	1984	A/Bangkok/10/83	A/Bangkok/10/1983	1983	160	Nakajima1995
A/Kamata/495/83	A/Kamata/495/1983	1983	A/Bangkok/10/83	A/Bangkok/10/1983	1983	160	Nakajima1995
A/Kamata/504/83	A/Kamata/504/1983	1983	A/Bangkok/10/83	A/Bangkok/10/1983	1983	160	Nakajima1995
A/Kamata/523/83	A/Kamata/523/1983	1983	A/Bangkok/10/83	A/Bangkok/10/1983	1983	160	Nakajima1995
A/Kamata/555/83	A/Kamata/555/1983	1983	A/Bangkok/10/83	A/Bangkok/10/1983	1983	240	Nakajima1995
A/Kamata/568/83	A/Kamata/568/1983	1983	A/Bangkok/10/83	A/Bangkok/10/1983	1983	240	Nakajima1995
A/Kamata/82/87	A/Kamata/82/1987	1987	A/Bangkok/10/83	A/Bangkok/10/1983	1983	20	Nakajima1995
A/Kamata/85/87	A/Kamata/85/1987	1987	A/Bangkok/10/83	A/Bangkok/10/1983	1983	20	Nakajima1995
A/Kamata/932/88	A/Kamata/932/1988	1988	A/Bangkok/10/83	A/Bangkok/10/1983	1983	40	Nakajima1995
A/Kamata/987/88	A/Kamata/987/1988	1988	A/Bangkok/10/83	A/Bangkok/10/1983	1983	<10	Nakajima1995
A/Kumamoto/37/79	A/Kumamoto/37/1979	1979	A/Bangkok/10/83	A/Bangkok/10/1983	1983	30	Nakajima1995
A/Nagano/1654/89	A/Nagano/1654/1989	1989	A/Bangkok/10/83	A/Bangkok/10/1983	1983	40	Nakajima1995
A/Nagano/984/86	A/Nagano/984/1986	1986	A/Bangkok/10/83	A/Bangkok/10/1983	1983	10	Nakajima1995
A/Yamagata/120/86	A/Yamagata/120/1986	1986	A/Bangkok/10/83	A/Bangkok/10/1983	1983	40	Nakajima1995
A/Yamagata/32/89	A/Yamagata/32/1989	1989	A/Bangkok/10/83	A/Bangkok/10/1983	1983	10	Nakajima1995
A/Akita/25/02	A/Akita/25/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2002
A/Auckland/2/02	A/Auckland/2/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2002
A/Bangkok/544/01	A/Bangkok/544/2001	2001	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2002
A/Barcelona/69830/03	A/Barcelona/69830/2003	2003	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2003
A/Barcelona/90/02	A/Barcelona/90/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	40	MRC2002
A/Bayern/07/95	A/Bayern/7/1995	1995	A/Bay/07/95	A/Bayern/7/1995	1995	1280	Daum2002
A/Bayern/7/95	A/Bayern/7/1995	1995	A/Bay/7/95	A/Bayern/7/1995	1995	2560	Hay2001
A/Bayern/7/95	A/Bayern/7/1995	1995	A/Bay/7/95	A/Bayern/7/1995	1995	2560	MRC2002
A/Bayern/7/95	A/Bayern/7/1995	1995	A/Bay/7/95	A/Bayern/7/1995	1995	1280	MRC2003
A/Beijing/262/95	A/Beijing/262/1995	1995	A/Bay/07/95	A/Bayern/7/1995	1995	20	Daum2002
A/Beijing/262/96	A/Beijing/262/1995	1995	A/Bay/7/95	A/Bayern/7/1995	1995	40	Hay2001
A/Beijing/262/95	A/Beijing/262/1995	1995	A/Bay/7/95	A/Bayern/7/1995	1995	80	MRC2002
A/Beijing/262/95	A/Beijing/262/1995	1995	A/Bay/7/95	A/Bayern/7/1995	1995	80	MRC2003
A/Belgium/338/02	A/Belgium/338/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2002
A/Belgrade/1062/03	A/Belgrade/1062/2003	2003	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2003
A/Brazil/11/78	A/Brazil/11/1978	1978	A/Bay/7/95	A/Bayern/7/1995	1995	<40	Hay2001
A/Bucharest/796/03	A/Bucharest/796/2003	2003	A/Bay/7/95	A/Bayern/7/1995	1995	40	MRC2003
A/Chile/1/83	A/Chile/1/1983	1983	A/Bay/7/95	A/Bayern/7/1995	1995	<40	Hay2001
A/Congo/6/02	A/Congo/6/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2003
A/Constanta/879/02	A/Constanta/879/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2002
A/Dakar/13/03	A/Dakar/13/2003	2003	A/Bay/7/95	A/Bayern/7/1995	1995	40	MRC2003
A/Dakar/51/02	A/Dakar/51/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2003
A/Darwin/18/01	A/Darwin/18/2001	2001	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2002
