virusIsolate	virusStrain	virusYear	serumIsolate	serumStrain	serumYear	titer	source
B/Shanghai/12/1987	B/Shanghai/12/1987	1987	B/YM/1988	B/Yamagata/16/1988	1988	640	Rota1990
B/Yamagata/16/1988	B/Yamagata/16/1988	1988	B/Yamagata/16/1988	B/Yamagata/16/1988	1988	2048	Kanegae1990
B/Yamagata/16/1988	B/Yamagata/16/1988	1988	B/Yamagata/16/1988	B/Yamagata/16/1988	1988	640	Nakajima1992
B/Yamagata/16/1988	B/Yamagata/16/1988	1988	B/Yamagata/16/1988	B/Yamagata/16/1988	1988	1280	Nerome1998
B/Yamagata/16/1988	B/Yamagata/16/1988	1988	B/YM/1988	B/Yamagata/16/1988	1988	1280	Rota1990
B/Taiwan/7/1988	B/Taiwan/7/1988	1988	B/YM/1988	B/Yamagata/16/1988	1988	1280	Rota1990
B/HongKong/14/1988	B/HongKong/14/1988	1988	B/YM/1988	B/Yamagata/16/1988	1988	1280	Rota1990
B/Singapore/7/1988	B/Singapore/7/1988	1988	B/YM/1988	B/Yamagata/16/1988	1988	1280	Rota1990
B/Yamagata/16/1988	B/Yamagata/16/1988	1988	B/Yamagata/16/1988	B/Yamagata/16/1988	1988	1280	Hay2001
B/HongKong/22/1989	B/HongKong/22/1989	1989	B/Yamagata/16/1988	B/Yamagata/16/1988	1988	20	Nakajima1992
B/HongKong/22/1989	B/HongKong/22/1989	1989	B/Yamagata/16/1988	B/Yamagata/16/1988	1988	80	Nerome1998
B/Bangkok/163/1990	B/Bangkok/163/1990	1990	B/Yamagata/16/1988	B/Yamagata/16/1988	1988	80	Nerome1998
B/Panama/45/1990	B/Panama/45/1990	1990	B/Yamagata/16/1988	B/Yamagata/16/1988	1988	160	Hay2001
B/Mie/1/1993	B/Mie/1/1993	1993	B/Yamagata/16/1988	B/Yamagata/16/1988	1988	640	Nerome1998
B/Beijing/184/1993	B/Beijing/184/1993	1993	B/Yamagata/16/1988	B/Yamagata/16/1988	1988	320	Nerome1998
B/Tokushima/101/1993	B/Tokushima/101/1993	1993	B/Yamagata/16/1988	B/Yamagata/16/1988	1988	160	Nerome1998
B/Beijing/184/1993	B/Beijing/184/1993	1993	B/Yamagata/16/1988	B/Yamagata/16/1988	1988	<40	Hay2001
B/Harbin/7/1994	B/Harbin/7/1994	1994	B/Yamagata/16/1988	B/Yamagata/16/1988	1988	1280	Nerome1998
B/Kobe/1/1994	B/Kobe/1/1994	1994	B/Yamagata/16/1988	B/Yamagata/16/1988	1988	80	Nerome1998
B/Hebei/3/1994	B/Hebei/3/1994	1994	B/Yamagata/16/1988	B/Yamagata/16/1988	1988	40	Nerome1998
B/Hebei/19/1994	B/Hebei/19/1994	1994	B/Yamagata/16/1988	B/Yamagata/16/1988	1988	20	Nerome1998
